Operator,In Out Travelling,Network Type,Rating,Call Drop Category,Latitude,Longitude,State 2me
5,Indoor,2,1,2,19.69802507,72.77135016,2
5,Outdoor,1,1,2,19.8781445,72.7633182,2
5,Indoor,1,5,1,19.92860146,72.76156747,2
3,Outdoor,1,5,1,30.27281159,78.07936318,2
3,Outdoor,1,5,1,30.27281159,78.07936318,2
3,Travelling,1,1,2,29.69542562,76.14852647,2
3,Travelling,1,1,2,27.2868961,77.716151,2
3,Outdoor,1,5,1,30.27281159,78.07936318,2
2,Indoor,1,3,1,-1,-1,2
3,Outdoor,1,5,1,30.28828294,77.99804367,2
3,Outdoor,1,5,1,30.28828294,77.99804367,2
3,Indoor,1,1,2,25.19387428,85.3662416,2
2,Travelling,1,5,1,12.89464031,77.63641107,2
2,Indoor,2,5,1,26.4606213,80.3549026,2
2,Indoor,2,5,1,26.4605391,80.3547451,2
3,Indoor,1,1,2,25.19387428,85.3662416,2
1,Indoor,1,5,1,-1,-1,2
4,Travelling,2,5,1,12.32467594,75.0851683,2
5,Indoor,2,1,3,18.6387529,73.7944462,2
5,Indoor,1,1,3,18.550296,73.949777,2
5,Indoor,1,1,3,18.5539233,73.9003843,2
5,Indoor,1,1,3,18.5539233,73.9003843,2
5,Travelling,2,1,3,18.5533335,73.9498799,2
3,Indoor,1,2,2,22.6791339,72.8620352,2
3,Indoor,1,3,1,22.6791339,72.8620352,2
3,Indoor,1,3,1,22.6791339,72.8620352,2
3,Indoor,1,2,2,22.6769655,72.8631789,2
3,Outdoor,1,4,1,11.23936725,77.20768723,2
3,Outdoor,1,5,1,-1,-1,2
3,Outdoor,1,1,2,25.2103832,85.35970446,2
1,Indoor,2,5,1,20.1815975,73.03039018,2
3,Indoor,1,1,3,17.4772378,78.3935045,2
3,Outdoor,1,1,2,25.2103832,85.35970446,2
3,Indoor,1,3,1,-1,-1,2
3,Indoor,1,4,1,28.5563114,77.1725734,2
3,Outdoor,1,5,1,26.285048,73.00035,Rajasthan
3,Indoor,1,5,1,22.7441282,71.6204248,2
3,Indoor,1,3,2,17.4772374,78.3934977,2
3,Indoor,1,4,1,28.5562888,77.1725547,2
3,Outdoor,1,5,1,23.183725,87.963646,West Bengal
4,Indoor,2,4,1,-1,-1,2
4,Indoor,2,4,1,-1,-1,2
4,Indoor,2,4,1,-1,-1,2
4,Indoor,2,4,1,-1,-1,2
4,Indoor,2,4,1,-1,-1,2
4,Indoor,2,4,1,-1,-1,2
4,Indoor,2,4,1,-1,-1,2
4,Indoor,2,4,1,-1,-1,2
4,Indoor,2,4,1,-1,-1,2
4,Indoor,2,4,1,-1,-1,2
4,Indoor,2,4,1,-1,-1,2
