test_id,iphone_device_id,test_date,client_ip_address,download_kbps,upload_kbps,latency,server_name,server_country,server_country_code,server_latitude,server_longitude,server_sponsor_name,client_country,client_country_code,client_region_name,client_region_code,client_city,client_latitude,client_longitude,miles_between,pre_connection_type,post_connection_type,isp_name,is_isp,network_operator_name,iso_country_code,mcc,mnc,model,version,location_type,gmaps_formatted_address,gmaps_name,gmaps_type,gmaps_country,gmaps_country_code,gmaps_region,gmaps_subregion,gmaps_subsubregion,gmaps_postal_code,client_ipv6_address,client_latitude_start,client_longitude_start,location_type_start,km_between
3423740770,172774834,"2019-09-01 00:00:00","223.24.xxx.xxx",38302,24105,23,"Bangkok","Thailand","TH",13.7500,100.4833,"NIPA.CLOUD 1st Cloud Thailand","Thailand","TH","Bangkok","10","Bangkok",13.761,100.532,3.3985,12,12,"True Internet","1","TRUE-H","TH","520","0","iPhone 6S Plus","12.4",2,"Bangkok, Thailand","Bangkok","locality","Thailand","TH","","","","10400","","13.76180","100.53240",2,3.60764
3423740782,153366849,"2019-09-01 00:00:00","42.108.xxx.xxx",7860,8421,29,"Pune","India","IN",18.5203,73.8567,"Vodafone Idea Ltd","India","IN","Maharashtra","MH","Ambajogai",18.720,76.381,166.1,12,12,"Vodafone India","1","Vodafone India","IN","404","27","iPhone5S","12.4.1",1,"Ambajogai, Maharashtra 431517, India","Ambajogai","locality","India","IN","Maharashtra","Beed","","431517","","18.72017","76.38188",1,267.278
3423740791,169596888,"2019-09-01 00:00:01","42.153.xxx.xxx",3029,7374,16,"Kuala Lumpur","Malaysia","MY",3.1357,101.6880,"U Mobile","Malaysia","MY","Selangor","10","Kapar",3.142,101.441,17.0509,12,12,"Webe Digital Sdn. Bhd.","1","Carrier","my","502","153","iPhone5S","12.4.1",1,"Kapar, Selangor, Malaysia","Kapar","locality","Malaysia","MY","Selangor","Klang","Kapar","42200","","3.14260","101.44108",1,33.8318
3423740792,174400865,"2019-09-01 00:00:01","180.217.xxx.xxx",15115,14504,19,"Taipei","Taiwan","TW",25.0333,121.5333,"KGEX ISP","Taiwan","TW","Taipei City","TPE","Taipei",25.047,121.531,1.00736,12,12,"Vibo Telecom","1","台灣之星","TW","466","89","iPhone 8","12.4",2,"Taipei, Taipei City, Taiwan","Taipei","locality","Taiwan","TW","Taipei City","","","104","","25.04780","121.53180",2,1.06286
3423740799,135293692,"2019-09-01 00:00:01","27.55.xxx.xxx",3836,9970,35,"Pattaya","Thailand","TH",12.9276,100.8771,"AIS","Thailand","TH","Chon Buri","20","Ban Bueng",13.032,101.078,15.3681,12,12,"True Internet","1","TRUE-H","TH","520","0","iPhone 7","12.4.1",1,"Bo Win, Si Racha District, Chon Buri, Thailand","Bo Win","locality","Thailand","TH","Chon Buri","Si Racha District","","20230","","13.03264","101.07801",1,20.4095
3423740800,174392448,"2019-09-01 00:00:01","91.193.xxx.xxx",22544,11495,28,"Domodedovo","Russian Federation","RU",55.4086,37.9061,"Gigacom Systems LLC","Russia","RU","Moscow Oblast","MOS","Soloslovo",55.681,37.150,35.0709,12,12,"VimpelCom","1","Beeline","RU","250","99","iPhone 8","12.4.1",1,"Lapino, Moskovskaya oblast', Russia, 143081","Lapino","locality","Russia","RU","Moscow Oblast","Odintsovsky District","","143081","","55.68135","37.15063",1,57.3389
3423740804,159419565,"2019-09-01 00:00:01","186.156.xxx.xxx",19925,16238,42,"Santiago","Chile","CL",-33.4378,-70.6503,"SEiT SPA","Chile","CL","Antofagasta Region","AN","Antofagasta",-23.688,-70.406,674.511,12,12,"VTR BANDA ANCHA S.A.","1","vtr","CL","730","8","iPhone 7","13.0",1,"Antofagasta, Antofagasta, Antofagasta Region, Chile","Antofagasta","locality","Chile","CL","Antofagasta Region","Antofagasta Province","Antofagasta","","","-23.68972","-70.40790",1,1088.63
3423740806,171566511,"2019-09-01 00:00:02","93.168.xxx.xxx",16885,530,35,"Kharj","Saudi Arabia","SA",24.1455,47.3119,"Saudi Telecom Company (STC)","Saudi Arabia","SA","Riyadh Province","01","Riyadh",24.555,46.719,46.8863,12,12,"SaudiNet","1","STC","SA","420","1","iPhone XS","13.1",1,"Riyadh Saudi Arabia","Riyadh","locality","Saudi Arabia","SA","Riyadh Province","","","14716","","24.55526","46.71919",1,82.7306
3423740817,173386764,"2019-09-01 00:00:02","188.170.xxx.xxx",365,1061,51,"Saint Petersburg","Russia","RU",59.9333,30.3333,"Ltd \"Asarta\"","Russia","RU","St Petersburg","SPE","St Petersburg",59.898,30.261,3.47225,12,12,"PJSC MegaFon","1","MegaFon","RU","250","2","iPhone X","12.4.1",2,"St Petersburg, Russia","Saint Petersburg","locality","Russia","RU","Saint Petersburg","gorod Sankt-Peterburg","","198099","","59.89810","30.26190",2,7.60563
3423740818,143794723,"2019-09-01 00:00:02","213.205.xxx.xxx",3088,99,40,"Newport","Wales","GB",51.5833,-3.0000,"Hub Network Services Ltd","United Kingdom","GB","Worcestershire","WOR","Alvechurch",52.386,-1.946,71.4199,12,12,"EE Mobile","1","EE","GB","234","30","iPhone5S","12.4",1,"Birmingham B38, UK","Alvechurch","locality","United Kingdom","GB","England","Worcestershire","Bromsgrove District, Alvechurch","B38","","52.38658","-1.94659",1,110.141
