test_id,guid,test_date,received_date,desktop_device_id,platform,client_ip_address,download_kbps,upload_kbps,latency,server_name,server_country,server_country_code,server_latitude,server_longitude,server_sponsor_name,isp_name,is_isp,connection_type,location_type,client_country,client_country_code,client_region_name,client_region_code,client_city,client_latitude,client_longitude,miles_between,gmaps_formatted_address,gmaps_name,gmaps_type,gmaps_country,gmaps_country_code,gmaps_region,gmaps_subregion,gmaps_subsubregion,postal_code,client_ipv6_address,km_between
126553718,"316C6BD3C6BB48C780D894AB59DA602C","2019-08-31 23:59:25","2019-09-01 00:00:00","8426544","5","97.104.xxx.xxx",116465,17828,13,"The Villages, FL","United States","US",28.9270,-82.0038,"The Villages","Spectrum","1","22","1","United States","US","Florida","FL","Palm Coast",29.585,-81.207,66.1737,"Palm Coast, FL, USA","Palm Coast","locality","United States","US","Florida","Flagler County","","32164","",106.378
126553719,"61F0B02B99C54455BF4D9140E36AC5FD","2019-08-31 23:59:27","2019-09-01 00:00:00","7914026","5","109.96.xxx.xxx",62469,87459,49,"Timisoara","Romania","RO",45.7597,21.2300,"ITPS","Telekom Romania","1","2","2","Romania","RO","Timiș County","TM","Timișoara",45.839,21.102,8.29194,"Timișoara, Romania","Timișoara","locality","Romania","RO","Timiș County","Timisoara","","","",13.3297
126553720,"941357A295E346E8B3D8AE6D5138301C","2019-09-01 00:01:21","2019-09-01 00:00:00","8320302","5","5.54.xxx.xxx",45439,5962,15,"Athens","Greece","GR",37.9778,23.7278,"Vodafone - Panafon S.A.","Vodafone Greece Broadband","1","22","1","Greece","GR","Attica","I","Glyfada",37.866,23.750,7.77965,"Glyfada, Greece","Glyfada","locality","Greece","GR","Attica","Attica","Notios Tomeas Athinon, Glyfada, Glifada","166 74","",12.5062
126553721,"CF78C3D38AAC4FBFA46EB5713B26D02D","2019-08-31 23:59:31","2019-09-01 00:00:00","7770054","5","31.18.xxx.xxx",950401,48065,25,"Szczecin","Poland","PL",53.4333,14.5333,"Akademickie Centrum Informatyki","Vodafone Kabel Deutschland","1","22","2","Germany","DE","Mecklenburg-Vorpommern","MV","Sassnitz",54.516,13.650,83.1076,"Sassnitz, Germany","Sassnitz","locality","Germany","DE","Mecklenburg-Vorpommern","Rügen","","18546","",133.6
126553722,"1E099C08B346475C87D20B90A7D55E10","2019-08-31 23:59:22","2019-09-01 00:00:01","7049127","5","119.93.xxx.xxx",4601,5277,9,"Manila","Philippines","PH",14.5800,121.0000,"Smart Communications Inc.","Philippine Long Distance Telephone","1","2","1","Philippines","PH","Metro Manila","00","Manila",14.600,120.966,2.62363,"Manila, Metro Manila, Philippines","Manila","locality","Philippines","PH","Metro Manila","","","1008","",4.21763
126553723,"B8EA9F28F0464C3EA6C432785C7BC949","2019-08-31 23:59:13","2019-09-01 00:00:01","2213650","5","109.173.xxx.xxx",26620,16441,3,"Poznan","Poland","PL",52.2400,16.9167,"Orange Polska S.A.","INEA S.A.","1","2","2","Poland","PL","Greater Poland Voivodeship","WP","Lubon",52.347,16.892,7.47044,"62, Poland","Luboń","locality","Poland","PL","Greater Poland Voivodeship","poznański","Luboń","62","",12.0091
126553724,"81E4D84DD4A1478484EA32BCD47CD26D","2019-09-01 00:01:04","2019-09-01 00:00:02","2005575","5","62.141.xxx.xxx",31927,2015,19,"Świdnica","Poland","PL",50.8500,16.4833,"Limonka.pl","Multimedia Polska S.A.","1","22","2","Poland","PL","Lower Silesian Voivodeship","DS","Swidnica",50.841,16.479,0.602506,"58, Poland","Swidnica","locality","Poland","PL","Lower Silesian Voivodeship","Świdnica County","Świdnica","58","",0.96856
126553725,"85F8F9A938AE4099B0F122940C471E4B","2019-08-31 23:59:29","2019-09-01 00:00:02","7781046","5","102.164.xxx.xxx",3875,1015,14,"Mokopane","South Africa","ZA",-24.1809,29.0139,"Satellite Software","Capricom Networks","1","22","2","South Africa","ZA","Limpopo","LP","Polokwane",-23.716,29.316,37.3815,"Polokwane, South Africa","Polokwane","locality","South Africa","ZA","Limpopo","Central","Polokwane Local Municipality","0742","",60.0928
126553726,"E7ECC402D9CF45A1A18FF6631CB2C66D","2019-08-31 23:59:29","2019-09-01 00:00:02","7815537","5","183.171.xxx.xxx",10195,7076,34,"Petaling Jaya","Malaysia","MY",3.0833,101.6500,"Celcom Axiata","Celcom Axiata Berhad","1","22","2","Malaysia","MY","Selangor","10","Petaling Jaya",3.083,101.650,0,"Petaling Jaya, Selangor, Malaysia","Petaling Jaya","locality","Malaysia","MY","Selangor","Petaling","","47300","",0
126553727,"6E1E2F9EEEAE4713B60955B20289AE58","2019-08-31 23:59:27","2019-09-01 00:00:03","736348","5","202.107.xxx.xxx",34134,57830,7,"Hangzhou","China","CN",30.2500,120.1667,"China Telecom ZheJiang Branch","China Telecom Zhejiang","1","22","1","China","CN","Zhejiang","ZJ","Jinhua",29.107,119.654,84.7862,"Jinhua, Zhejiang, China","Jinhua","locality","China","CN","Zhejiang","","","","",136.298
