test_id,test_date,client_ip_id,client_ip_address,download_kbps,upload_kbps,latency,server_name,server_country,server_country_code,server_latitude,server_longitude,server_sponsor_name,user_agent,isp_name,is_isp,connection_type,client_country,client_country_code,client_region_name,client_region_code,client_city,client_latitude,client_longitude,miles_between,gmaps_formatted_address,gmaps_name,gmaps_type,gmaps_country,gmaps_country_code,gmaps_region,gmaps_subregion,gmaps_subsubregion,gmaps_postal_code,km_between
8551476976,"2019-09-01 00:00:00","1749894749","1.204.xxx.xxx",13562,404,6,"Guiyang","China","CN",26.6500,106.6333,"China Mobile,GuiZhou","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_5) AppleWebKit/537.36 (KHTML, like Gecko) enfi-cloud-desktop/2.0.2 Chrome/66.0.3359.181 Electron/3.1.8 Safari/537.36","China Telecom GUIZHOU","1","2","China","CN","Guizhou","GZ","Guiyang",26.583,106.716,6.91977,"Guiyang, Guizhou, China","Guiyang","locality","China","CN","Guizhou","","","",11.1239
8551476977,"2019-09-01 00:00:00","1021230225","110.181.xxx.xxx",50311,23552,23,"Tianjin","China","CN",39.1333,117.1833,"China Unicom","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) enfi-cloud-desktop/2.0.5 Chrome/66.0.3359.181 Electron/3.1.8 Safari/537.36","China Telecom SHANXI","1","2","China","CN","Shanxi","SX","Pingwang",40.031,113.168,222.844,"Datong, Shanxi, China","Datong","locality","China","CN","Shanxi","","","",358.234
8551476978,"2019-09-01 00:00:00","1948178476","103.119.xxx.xxx",91665,94307,8,"Jakarta","Indonesia","ID",-6.1745,106.8227,"My Republic Indonesia","Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:68.0) Gecko/20100101 Firefox/68.0","MyRepublic ID","1","2","Indonesia","ID","Special Capital Region of Jakarta","JK","Jakarta",-6.174,106.829,0.460709,"Central Jakarta, Central Jakarta City, Special Capital Region of Jakarta, Indonesia","Central Jakarta","locality","Indonesia","ID","Special Capital Region of Jakarta","Central Jakarta City","","10110",0.740614
8551476979,"2019-09-01 00:00:00","117878708","195.218.xxx.xxx",83314,91535,1,"Krasnoyarsk","Russia","RU",56.0026,92.8853,"Beeline","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.132 Safari/537.36","GOLDEN Telecom, Russia, Moscow","1","4","Russia","RU","Krasnoyarsk Krai","KYA","Solontsy",56.066,92.845,4.6422,"Krasnoyarsk, Krasnoyarsk Krai, Russia","Krasnoyarsk","locality","Russia","RU","Krasnoyarsk Krai","gorod Krasnoyarsk","","660022",7.46258
8551476980,"2019-09-01 00:00:00","823328723","82.77.xxx.xxx",92895,93345,2,"Iasi","Romania","RO",47.1569,27.5903,"RCS & RDS","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.132 Safari/537.36","RCS & RDS S.A.","1","2","Romania","RO","Iași County","IS","Hlincea",47.116,27.583,2.80004,"Iași, Romania","Iași","locality","Romania","RO","Iași County","","","",4.50121
8551476981,"2019-09-01 00:00:00","1909663320","39.130.xxx.xxx",73577,31968,32,"Guiyang","China","CN",26.6500,106.6333,"China Mobile,GuiZhou","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) enfi-cloud-desktop/2.0.5 Chrome/66.0.3359.181 Electron/3.1.8 Safari/537.36","China Mobile Guangdong","1","4","China","CN","Yunnan","YN","Guandu",25.006,102.762,266.439,"Kunming, Yunnan, China","Kunming","locality","China","CN","Yunnan","","","",428.315
8551476982,"2019-09-01 00:00:00","1268091231","202.4.xxx.xxx",4254,9334,8,"Dhaka","BD","BD",23.7000,90.3667,"Delta Infocom Ltd.","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.132 Safari/537.36","DhakaCom Limited","1","2","Bangladesh","BD","Dhaka Division","C","Dhaka",23.723,90.408,3.09393,"Dhaka 1000-1200, Bangladesh","Dhaka","locality","Bangladesh","BD","Dhaka Division","Dhaka","","",4.97366
8551476983,"2019-09-01 00:00:00","150403284","183.83.xxx.xxx",94652,94827,1,"Hyderabad","India","IN",17.3700,78.4800,"ACT Fibernet","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.132 Safari/537.36","ACT Fibernet","1","2","India","IN","Telangana","TG","Tolichowki",17.397,78.408,5.11457,"Hyderabad, Telangana, India","Hyderabad","locality","India","IN","Telangana","","","500031",8.22193
8551476984,"2019-09-01 00:00:00","2226316652","110.184.xxx.xxx",69930,15714,4,"Chengdu","China","CN",30.6586,104.0647,"China Unicom","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) enfi-cloud-desktop/2.0.5 Chrome/66.0.3359.181 Electron/3.1.8 Safari/537.36","China Telecom Sichuan","1","2","China","CN","Sichuan","SC","Chengdu",30.666,104.066,0.571602,"Chengdu, Sichuan, China","Chengdu","locality","China","CN","Sichuan","","","",0.91888
8551476985,"2019-09-01 00:00:00","1570433609","185.41.xxx.xxx",50697,53234,10,"Konstantinovka","Ukraine","UA",48.5239,37.7076,"SANNET.DN.UA","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.132 Safari/537.36","Eurotele-plus LLC","1","2","Ukraine","UA","Donetsk Oblast","14","Konstantinovka",47.866,37.400,47.6197,"Kostyantynivka, Donetsk Oblast, Ukraine, 85653","Kostyantynivka","locality","Ukraine","UA","Donetsk Oblast","Mar'ins'kyi district","","85653",76.5512
