test_id,wp_device_id,test_date,client_ip_address,download_kbps,upload_kbps,latency,server_name,server_country,server_country_code,server_latitude,server_longitude,server_sponsor_name,client_country,client_country_code,client_region_name,client_region_code,client_city,client_latitude,client_longitude,miles_between,connection_type,isp_name,is_isp,network_operator_name,manufacturer,device_name,hardware_version,firmware_version,location_type,gmaps_formatted_address,gmaps_name,gmaps_type,gmaps_country,gmaps_country_code,gmaps_region,gmaps_subregion,gmaps_subsubregion,gmaps_postal_code
75372165,6048396,"2019-09-01 00:06:03","46.211.xxx.xxx",408,0,82,"Kiev","Ukraine","UA",50.4501,30.5234,"SkyVision Ukraine","Ukraine","UA","Kyivs'ka oblast","32","Brovary",50.505,30.781,11.9733,8,"Kyivstar PJSC","1","KYIVSTAR","NOKIA","RM-846_eu_ukraine_255","5.0.2.0","3058.50000.1425.0006",1,"Brovary, Kyivs'ka oblast, Ukraine","Brovary","locality","Ukraine","UA","Kyivs'ka oblast","Brovars'ka city council","","07400"
75372166,6021212,"2019-09-01 00:07:21","83.220.xxx.xxx",10301,9451,49,"Moscow","Russia","RU",55.7517,37.6178,"Castcrown Limited","Russia","RU","Moscow","MOW","Moscow",55.752,37.617,0.0730052,11,"VimpelCom","1","Beeline","NOKIA","RM-875_eu_belarus_russia_229","4.4.0.2","3051.50009.1451.1005",2,"Moscow, Russia","Moscow","locality","Russia","RU","Moscow","gorod Moskva","","109012"
75372170,6044097,"2019-09-01 00:09:32","46.134.xxx.xxx",5855,1995,51,"Gliwice","Poland","PL",50.2833,18.6667,"SowNet","Poland","PL","Silesian Voivodeship","SL","Gliwice",50.310,18.665,1.84794,8,"Orange mobile","1","ORANGE","NOKIA","RM-1045_1104","2.0.0.3","02540.00019.15234.50007",2,"44, Poland","Gliwice","locality","Poland","PL","Silesian Voivodeship","Gliwice County","Gliwice","44"
75372171,6045512,"2019-09-01 00:10:59","176.59.xxx.xxx",8737,10743,49,"Moscow","Russia","RU",55.7517,37.6178,"ACADEMSERVICE LTD","Russia","RU","Moscow","MOW","Moscow",55.752,37.617,0.0730052,11,"T2 Mobile LLC","1","Rostelecom","NOKIA","RM-875_eu_belarus_russia_229","4.4.0.2","3051.50009.1451.1005",2,"Moscow, Russia","Moscow","locality","Russia","RU","Moscow","gorod Moskva","","109012"
75372174,6048431,"2019-09-01 00:18:00","91.104.xxx.xxx",4834,4933,69,"Budapest","Hungary","HU",47.5000,19.0500,"Telenor Hungary","Hungary","HU","Budapest","BU","Budapest",47.531,19.122,4.02748,8,"Telenor Hungary","1","Telenor HU","HTC","HTC6995LVW","0004","2061.30.30501.605",1,"Budapest, Hungary","Budapest","locality","Hungary","HU","Budapest","Budapest","","1147"
75372175,5981591,"2019-09-01 00:20:25","185.19.xxx.xxx",11210,2011,153,"Padova","Italy","IT",45.4167,11.8667,"E4A s.r.l.","Italy","IT","Veneto","34","Camposampiero",45.558,11.937,10.3625,8,"Digi Italy S.R.L.","1","I TIM-Digi.Mobil","Microsoft","RM-1066_1002","1.4.0.0","02177.00000.15184.36002",1,"Camposampiero PD, Italy","Camposampiero","locality","Italy","IT","Veneto","Province of Padua","Camposampiero","35012"
75372177,2028096,"2019-09-01 00:21:02","5.173.xxx.xxx",1066,228,113,"Konin","Poland","PL",52.2230,18.2511,"Komputersat s.c.","Poland","PL","Greater Poland Voivodeship","WP","Lubstów",52.334,18.439,11.1151,8,"Play","1","Mobile Vikings","NOKIA","RM-914_eu_poland_346","1.5.0.9","3058.50000.1425.0004",1,"62, Poland","Gmina Sompolno","administrative_area_level_3","Poland","PL","Greater Poland Voivodeship","koniński","Gmina Sompolno","62"
75372181,4165444,"2019-09-01 00:22:22","176.59.xxx.xxx",5642,5542,78,"Ekaterinburg","Russia","RU",56.8389,60.6057,"ProfiStream.Com","Russia","RU","Sverdlovsk Oblast","SVE","Yekaterinburg",56.851,60.612,0.932008,11,"Tele2 Russia","1","Tele2","Microsoft","RM-1075_1017","2.1.9.2","02177.00000.15184.36002",2,"Yekaterinburg, Sverdlovsk Oblast, Russia","Yekaterinburg","locality","Russia","RU","Sverdlovsk Oblast","gorod Ekaterinburg","","620027"
75372184,5415200,"2019-09-01 00:23:24","176.59.xxx.xxx",5191,3426,62,"Moscow","Russian Federation","RU",55.7517,37.6178,"Citytelecom","Russia","RU","Moscow","MOW","Moscow",55.752,37.617,0.0730052,11,"T2 Mobile LLC","1","Tele2","Microsoft","RM-1075_1017","2.1.9.2","02177.00000.15184.36002",2,"Moscow, Russia","Moscow","locality","Russia","RU","Moscow","gorod Moskva","","109012"
75372187,3213037,"2019-09-01 00:25:51","176.59.xxx.xxx",135,55,316,"Belovo","Russian Federation","RU",54.4167,86.3000,"Truenetwork","Russia","RU","Kemerovo Oblast","KEM","Polysayevo",54.616,86.264,13.8746,6,"T2 Mobile LLC","1","Tele2","NOKIA","RM-978_1061","4.0.5.0","02040.00021.15053.36003",1,"Polysayevo, Kemerovo Oblast, Russia","Polysayevo","locality","Russia","RU","Kemerovo Oblast","gorod Polysaevo","","652561"
